x,y,z,gx,gy,gz,motor0,motor1,motor2,motor3
-0.169889,0.769199,4.82314,0,0,5,0,0,0,0
-0.169889,0.769199,4.82314,0,0,5,0,0,0,0
-0.169889,0.769199,4.82314,0,0,5,0,0,0,0
-0.171074,0.75259,4.81457,0,0,5,0,0,0,0
-0.171074,0.75259,4.81457,0,0,5,0,0,0,0
-0.171074,0.75259,4.81457,0,0,5,0,0,0,0
-0.171215,0.739941,4.80941,0,0,5,0,0,0,0
-0.171215,0.739941,4.80941,0,0,5,0,0,0,0
-0.170518,0.718822,4.80232,0,0,5,0,0,0,0
-0.170518,0.718822,4.80232,0,0,5,0,0,0,0
-0.170518,0.718822,4.80232,0,0,5,0,0,0,0
-0.169354,0.702986,4.79814,0,0,5,0,0,0,0
-0.169354,0.702986,4.79814,0,0,5,0,0,0,0
-0.166825,0.677444,4.79281,0,0,5,0,0,0,0
-0.166825,0.677444,4.79281,0,0,5,0,0,0,0
-0.166825,0.677444,4.79281,0,0,5,0,0,0,0
-0.16457,0.659076,4.78995,0,0,5,0,0,0,0
-0.16457,0.659076,4.78995,0,0,5,0,0,0,0
-0.161889,0.639756,4.78766,0,0,5,0,0,0,0
-0.161889,0.639756,4.78766,0,0,5,0,0,0,0
-0.157154,0.609283,4.78518,0,0,5,0,0,0,0
-0.157154,0.609283,4.78518,0,0,5,0,0,0,0
-0.153492,0.587807,4.78417,0,0,5,0,0,0,0
-0.153492,0.587807,4.78417,0,0,5,0,0,0,0
-0.153492,0.587807,4.78417,0,0,5,0,0,0,0
-0.147505,0.554887,4.78345,0,0,5,0,0,0,0
-0.143122,0.532063,4.78364,0,0,5,0,0,0,0
-0.143122,0.532063,4.78364,0,0,5,0,0,0,0
-0.143122,0.532063,4.78364,0,0,5,0,0,0,0
-0.143122,0.532063,4.78364,0,0,5,0,0,0,0
-0.136115,0.497225,4.78467,0,0,5,0,0,0,0
-0.136115,0.497225,4.78467,0,0,5,0,0,0,0
-0.12862,0.461693,4.78661,0,0,5,0,0,0,0
-0.12862,0.461693,4.78661,0,0,5,0,0,0,0
-0.123395,0.437623,4.78846,0,0,5,0,0,0,0
-0.123395,0.437623,4.78846,0,0,5,0,0,0,0
-0.123395,0.437623,4.78846,0,0,5,0,0,0,0
-0.118024,0.413558,4.79063,0,0,5,0,0,0,0
-0.118024,0.413558,4.79063,0,0,5,0,0,0,0
-0.109775,0.377216,4.79464,0,0,5,0,0,0,0
-0.104158,0.353047,4.79773,0,0,5,0,0,0,0
-0.104158,0.353047,4.79773,0,0,5,0,0,0,0
-0.0955922,0.316993,4.8029,0,0,5,0,0,0,0
-0.0955922,0.316993,4.8029,0,0,5,0,0,0,0
-0.089857,0.293149,4.80667,0,0,5,0,0,0,0
-0.089857,0.293149,4.80667,0,0,5,0,0,0,0
-0.089857,0.293149,4.80667,0,0,5,0,0,0,0
-0.0812083,0.257876,4.81256,0,0,5,0,0,0,0
-0.0812083,0.257876,4.81256,0,0,5,0,0,0,0
-0.0812083,0.257876,4.81256,0,0,5,0,0,0,0
-0.0725774,0.223277,4.81875,0,0,5,0,0,0,0
-0.0669223,0.200676,4.82302,0,0,5,0,0,0,0
-0.0669223,0.200676,4.82302,0,0,5,0,0,0,0
-0.0584206,0.167473,4.82933,0,0,5,0,0,0,0
-0.0584206,0.167473,4.82933,0,0,5,0,0,0,0
-0.052899,0.145955,4.83343,0,0,5,0,0,0,0
-0.052899,0.145955,4.83343,0,0,5,0,0,0,0
-0.0447158,0.114537,4.83922,0,0,5,0,0,0,0
-0.0447158,0.114537,4.83922,0,0,5,0,0,0,0
-0.0447158,0.114537,4.83922,0,0,5,0,0,0,0
-0.0393885,0.094238,4.84277,0,0,5,0,0,0,0
-0.0393885,0.094238,4.84277,0,0,5,0,0,0,0
-0.0393885,0.094238,4.84277,0,0,5,0,0,0,0
-0.0341822,0.0744908,4.84603,0,0,5,0,0,0,0
-0.026583,0.0459226,4.85047,0,0,5,0,0,0,0
-0.026583,0.0459226,4.85047,0,0,5,0,0,0,0
-0.026583,0.0459226,4.85047,0,0,5,0,0,0,0
-0.0193727,0.018867,4.85445,0,0,5,0,0,0,0
-0.0193727,0.018867,4.85445,0,0,5,0,0,0,0
-0.0147337,0.00164583,4.85686,0,0,5,0,0,0,0
-0.0147337,0.00164583,4.85686,0,0,5,0,0,0,0
-0.0147337,0.00164583,4.85686,0,0,5,0,0,0,0
-0.00803156,-0.0229678,4.86004,0,0,5,0,0,0,0
-0.00803156,-0.0229678,4.86004,0,0,5,0,0,0,0
-0.00803156,-0.0229678,4.86004,0,0,5,0,0,0,0
-0.00381706,-0.0383925,4.8618,0,0,5,0,0,0,0
-0.00381706,-0.0383925,4.8618,0,0,5,0,0,0,0
0.000317507,-0.0532625,4.86332,0,0,5,0,0,0,0
0.000317507,-0.0532625,4.86332,0,0,5,0,0,0,0
0.00615621,-0.0740008,4.86504,0,0,5,0,0,0,0
0.00615621,-0.0740008,4.86504,0,0,5,0,0,0,0
0.011643,-0.0930965,4.86624,0,0,5,0,0,0,0
0.011643,-0.0930965,4.86624,0,0,5,0,0,0,0
0.011643,-0.0930965,4.86624,0,0,5,0,0,0,0
0.0151345,-0.104988,4.86677,0,0,5,0,0,0,0
0.0151345,-0.104988,4.86677,0,0,5,0,0,0,0
0.0184653,-0.116123,4.86703,0,0,5,0,0,0,0
0.0216429,-0.126512,4.86703,0,0,5,0,0,0,0
0.0216429,-0.126512,4.86703,0,0,5,0,0,0,0
0.0260928,-0.140667,4.86659,0,0,5,0,0,0,0
0.0260928,-0.140667,4.86659,0,0,5,0,0,0,0
0.0301774,-0.153157,4.86565,0,0,5,0,0,0,0
0.0301774,-0.153157,4.86565,0,0,5,0,0,0,0
0.0301774,-0.153157,4.86565,0,0,5,0,0,0,0
0.0326813,-0.160519,4.86474,0,0,5,0,0,0,0
0.0361428,-0.17016,4.86298,0,0,5,0,0,0,0
0.0361428,-0.17016,4.86298,0,0,5,0,0,0,0
0.0361428,-0.17016,4.86298,0,0,5,0,0,0,0
0.0382848,-0.175761,4.86163,0,0,5,0,0,0,0
0.0382848,-0.175761,4.86163,0,0,5,0,0,0,0
0.0411208,-0.182494,4.85933,0,0,5,0,0,0,0
0.0411208,-0.182494,4.85933,0,0,5,0,0,0,0
0.0411208,-0.182494,4.85933,0,0,5,0,0,0,0
0.0428496,-0.186114,4.85766,0,0,5,0,0,0,0
0.0428496,-0.186114,4.85766,0,0,5,0,0,0,0
0.0452024,-0.190254,4.8551,0,0,5,0,0,0,0
0.0452024,-0.190254,4.8551,0,0,5,0,0,0,0
0.0465636,-0.19195,4.8533,0,0,5,0,0,0,0
0.0465636,-0.19195,4.8533,0,0,5,0,0,0,0
0.0465636,-0.19195,4.8533,0,0,5,0,0,0,0
0.0484201,-0.193377,4.85055,0,0,5,0,0,0,0
0.0484201,-0.193377,4.85055,0,0,5,0,0,0,0
0.0484201,-0.193377,4.85055,0,0,5,0,0,0,0
0.0500332,-0.19334,4.84778,0,0,5,0,0,0,0
0.0500332,-0.19334,4.84778,0,0,5,0,0,0,0
0.0500332,-0.19334,4.84778,0,0,5,0,0,0,0
0.0509901,-0.192531,4.84597,0,0,5,0,0,0,0
0.0509901,-0.192531,4.84597,0,0,5,0,0,0,0
0.0518517,-0.191077,4.84419,0,0,5,0,0,0,0
0.0518517,-0.191077,4.84419,0,0,5,0,0,0,0
0.0529911,-0.187741,4.84156,0,0,5,0,0,0,0
0.0529911,-0.187741,4.84156,0,0,5,0,0,0,0
0.0529911,-0.187741,4.84156,0,0,5,0,0,0,0
0.0539415,-0.183131,4.83909,0,0,5,0,0,0,0
0.0539415,-0.183131,4.83909,0,0,5,0,0,0,0
0.0544615,-0.179328,4.83766,0,0,5,0,0,0,0
0.0544615,-0.179328,4.83766,0,0,5,0,0,0,0
0.0548988,-0.174996,4.83637,0,0,5,0,0,0,0
0.0548988,-0.174996,4.83637,0,0,5,0,0,0,0
0.0548988,-0.174996,4.83637,0,0,5,0,0,0,0
0.0554388,-0.167662,4.83469,0,0,5,0,0,0,0
0.0554388,-0.167662,4.83469,0,0,5,0,0,0,0
0.0557299,-0.162051,4.8338,0,0,5,0,0,0,0
0.0557299,-0.162051,4.8338,0,0,5,0,0,0,0
0.056072,-0.152967,4.83272,0,0,5,0,0,0,0
0.056072,-0.152967,4.83272,0,0,5,0,0,0,0
0.0562495,-0.146397,4.83218,0,0,5,0,0,0,0
0.0562495,-0.146397,4.83218,0,0,5,0,0,0,0
0.0564802,-0.135893,4.83167,0,0,5,0,0,0,0
0.0564802,-0.135893,4.83167,0,0,5,0,0,0,0
0.0564802,-0.135893,4.83167,0,0,5,0,0,0,0
0.056593,-0.128576,4.83151,0,0,5,0,0,0,0
0.056593,-0.128576,4.83151,0,0,5,0,0,0,0
0.0567762,-0.116977,4.83161,0,0,5,0,0,0,0
0.0567762,-0.116977,4.83161,0,0,5,0,0,0,0
0.0567762,-0.116977,4.83161,0,0,5,0,0,0,0
0.0568589,-0.109108,4.83184,0,0,5,0,0,0,0
0.0568589,-0.109108,4.83184,0,0,5,0,0,0,0
0.0570016,-0.0968598,4.83246,0,0,5,0,0,0,0
0.0570016,-0.0968598,4.83246,0,0,5,0,0,0,0
0.0570016,-0.0968598,4.83246,0,0,5,0,0,0,0
0.0570898,-0.0885578,4.83304,0,0,5,0,0,0,0
0.0570898,-0.0885578,4.83304,0,0,5,0,0,0,0
0.0572238,-0.0759745,4.83415,0,0,5,0,0,0,0
0.0572238,-0.0759745,4.83415,0,0,5,0,0,0,0
0.0574143,-0.0632641,4.83556,0,0,5,0,0,0,0
0.0574143,-0.0632641,4.83556,0,0,5,0,0,0,0
0.0574143,-0.0632641,4.83556,0,0,5,0,0,0,0
0.0575477,-0.054788,4.83662,0,0,5,0,0,0,0
0.0575477,-0.054788,4.83662,0,0,5,0,0,0,0
0.0576938,-0.0463261,4.83777,0,0,5,0,0,0,0
0.0576938,-0.0463261,4.83777,0,0,5,0,0,0,0
0.0576938,-0.0463261,4.83777,0,0,5,0,0,0,0
