x,y,z,gx,gy,gz
0.664848,0.154296,0.0994814,0.184259,0.365727,4.06142
0.657376,0.165475,0.0990058,0.18613,0.369382,4.06204
0.649773,0.176528,0.0985243,0.188,0.373035,4.06267
0.642048,0.187438,0.0980384,0.18987,0.376685,4.06329
0.63421,0.198191,0.0975505,0.191739,0.380333,4.06391
0.626272,0.208771,0.0970638,0.193609,0.383979,4.06454
0.618246,0.219161,0.0965816,0.195478,0.387622,4.06516
0.610144,0.229347,0.0961069,0.197347,0.391262,4.06578
0.60198,0.239313,0.0956425,0.199215,0.3949,4.0664
0.593767,0.249045,0.0951915,0.201083,0.398536,4.06703
0.58552,0.258529,0.0947577,0.202951,0.402169,4.06765
0.577251,0.267754,0.0943447,0.204818,0.4058,4.06827
0.568975,0.276707,0.0939562,0.206685,0.409428,4.0689
0.560705,0.285379,0.0935955,0.208552,0.413053,4.06952
0.552455,0.293759,0.093266,0.210419,0.416676,4.07014
0.544236,0.30184,0.0929705,0.212285,0.420296,4.07076
0.536061,0.309615,0.0927112,0.214151,0.423914,4.07138
0.52794,0.317078,0.0924897,0.216016,0.427529,4.07201
0.519885,0.324225,0.0923076,0.217881,0.431141,4.07263
0.511903,0.331054,0.0921655,0.219746,0.434751,4.07325
0.504004,0.337562,0.0920628,0.221611,0.438357,4.07387
0.496195,0.343749,0.0919982,0.223475,0.441961,4.07449
0.488481,0.349616,0.0919696,0.225338,0.445562,4.07511
0.480867,0.355164,0.0919744,0.227202,0.449161,4.07573
0.473356,0.360397,0.092009,0.229065,0.452756,4.07635
0.465951,0.365319,0.0920688,0.230927,0.456349,4.07698
0.458653,0.369934,0.0921491,0.23279,0.459939,4.0776
0.451462,0.37425,0.0922445,0.234652,0.463525,4.07822
0.444375,0.378274,0.0923498,0.236513,0.467109,4.07884
0.43739,0.382014,0.0924591,0.238374,0.47069,4.07946
0.430502,0.38548,0.0925664,0.240235,0.474268,4.08008
0.423708,0.388681,0.0926658,0.242096,0.477843,4.0807
