x,y,z,gx,gy,gz
0.499564,-0.0575387,3.54873,0.18987,0.376685,4.06329
0.490958,-0.0422391,3.55686,0.191739,0.380333,4.06391
0.482555,-0.0272365,3.56481,0.193609,0.383979,4.06454
0.474363,-0.0125315,3.57258,0.195478,0.387622,4.06516
0.466392,0.00187733,3.58018,0.197347,0.391262,4.06578
0.458649,0.0159932,3.58759,0.199215,0.3949,4.0664
0.451146,0.0298133,3.59483,0.201083,0.398536,4.06703
0.443918,0.0433128,3.60195,0.202951,0.402169,4.06765
0.437002,0.0564623,3.60903,0.204818,0.4058,4.06827
0.430421,0.0692552,3.6161,0.206685,0.409428,4.0689
0.424166,0.0817145,3.62316,0.208552,0.413053,4.06952
0.418217,0.093873,3.63017,0.210419,0.416676,4.07014
0.412557,0.10576,3.63712,0.212285,0.420296,4.07076
0.407178,0.117394,3.64402,0.214151,0.423914,4.07138
0.402089,0.12878,3.65091,0.216016,0.427529,4.07201
0.3973,0.139922,3.65782,0.217881,0.431141,4.07263
0.392818,0.150825,3.6648,0.219746,0.434751,4.07325
0.388633,0.161508,3.67187,0.221611,0.438357,4.07387
0.384724,0.171994,3.67899,0.223475,0.441961,4.07449
0.381066,0.182307,3.68613,0.225338,0.445562,4.07511
0.377635,0.192468,3.69325,0.227202,0.449161,4.07573
0.374412,0.202493,3.70035,0.229065,0.452756,4.07635
0.371387,0.21239,3.70741,0.230927,0.456349,4.07698
0.368554,0.222167,3.71445,0.23279,0.459939,4.0776
0.365911,0.231826,3.7215,0.234652,0.463525,4.07822
0.363452,0.241373,3.72858,0.236513,0.467109,4.07884
0.36117,0.250811,3.7357,0.238374,0.47069,4.07946
0.359054,0.260147,3.74286,0.240235,0.474268,4.08008
0.357092,0.269386,3.75006,0.242096,0.477843,4.0807
0.355269,0.278534,3.75729,0.243956,0.481415,4.08132
0.353573,0.287596,3.76453,0.245815,0.484984,4.08194
0.351988,0.296576,3.77176,0.247675,0.48855,4.08256
0.3505,0.305481,3.77897,0.249534,0.492113,4.08318
0.349096,0.314313,3.78611,0.251392,0.495673,4.0838
0.347763,0.323077,3.79318,0.25325,0.499229,4.08442
0.34649,0.331776,3.80016,0.255108,0.502783,4.08504
0.345268,0.340413,3.80703,0.256965,0.506333,4.08566
0.344087,0.348991,3.81376,0.258822,0.50988,4.08627
0.34294,0.357512,3.82036,0.260679,0.513424,4.08689
0.341819,0.365978,3.8268,0.262535,0.516964,4.08751
0.340719,0.37439,3.8331,0.26439,0.520502,4.08813
0.339635,0.382748,3.83924,0.266245,0.524036,4.08875
0.338563,0.391051,3.84523,0.2681,0.527566,4.08937
0.3375,0.399298,3.85109,0.269955,0.531094,4.08998
0.336446,0.407484,3.85684,0.271809,0.534618,4.0906
0.335398,0.415602,3.86251,0.273662,0.538138,4.09122
0.334358,0.423648,3.86814,0.275515,0.541656,4.09184
0.333326,0.431612,3.87376,0.277368,0.54517,4.09246
0.332306,0.439489,3.8794,0.27922,0.54868,4.09307
0.331302,0.44727,3.88509,0.281072,0.552187,4.09369
0.330321,0.454951,3.89082,0.282923,0.55569,4.09431
0.329369,0.462529,3.8966,0.284774,0.55919,4.09492
0.328453,0.470001,3.9024,0.286625,0.562687,4.09554
0.32758,0.47737,3.90819,0.288475,0.566179,4.09616
0.326756,0.484637,3.91392,0.290324,0.569669,4.09677
0.325989,0.491799,3.9196,0.292173,0.573154,4.09739
0.325288,0.49885,3.92524,0.294022,0.576636,4.09801
0.324665,0.50578,3.93086,0.29587,0.580115,4.09862
0.324132,0.512582,3.93647,0.297718,0.583589,4.09924
0.323695,0.519252,3.94207,0.299565,0.587061,4.09985
0.323363,0.525787,3.94767,0.301412,0.590528,4.10047
0.323139,0.532185,3.95324,0.303258,0.593991,4.10109
0.32303,0.538444,3.95878,0.305104,0.597451,4.1017
0.323039,0.544564,3.96429,0.306949,0.600907,4.10232
0.323168,0.550546,3.96977,0.308794,0.60436,4.10293
0.323418,0.556391,3.97521,0.310638,0.607808,4.10355
0.323788,0.562104,3.98059,0.312482,0.611253,4.10416
0.32427,0.567696,3.98589,0.314325,0.614694,4.10478
0.324855,0.573179,3.99108,0.316168,0.61813,4.10539
0.325537,0.578561,3.99613,0.318011,0.621563,4.106
0.32631,0.58385,4.00104,0.319853,0.624992,4.10662
0.327169,0.58905,4.00581,0.321694,0.628418,4.10723
0.328108,0.594168,4.01045,0.323535,0.631839,4.10784
0.329122,0.599209,4.01496,0.325375,0.635256,4.10846
0.330204,0.604177,4.01935,0.327215,0.638669,4.10907
0.331349,0.609079,4.02362,0.329054,0.642078,4.10968
0.33255,0.613918,4.02777,0.330893,0.645483,4.1103
0.333801,0.618699,4.03181,0.332731,0.648884,4.11091
0.335099,0.623426,4.03574,0.334569,0.652281,4.11152
0.336437,0.628101,4.03957,0.336406,0.655674,4.11214
0.337813,0.632727,4.04329,0.338243,0.659062,4.11275
0.339222,0.637306,4.04691,0.340079,0.662447,4.11336
0.340662,0.641841,4.05043,0.341915,0.665827,4.11397
0.342129,0.646333,4.05386,0.34375,0.669203,4.11458
0.343622,0.650784,4.05719,0.345584,0.672575,4.11519
0.345139,0.655193,4.06044,0.347418,0.675942,4.11581
0.346677,0.659564,4.06359,0.349252,0.679306,4.11642
0.348236,0.663896,4.06666,0.351084,0.682665,4.11703
0.349814,0.66819,4.06964,0.352917,0.686019,4.11764
0.351411,0.672447,4.07254,0.354748,0.68937,4.11825
0.353024,0.676667,4.07536,0.35658,0.692716,4.11886
0.354654,0.680853,4.0781,0.35841,0.696057,4.11947
0.356299,0.685003,4.08076,0.36024,0.699395,4.12008
0.357959,0.689119,4.08334,0.36207,0.702728,4.12069
0.359633,0.693201,4.08585,0.363899,0.706056,4.1213
0.361321,0.69725,4.08829,0.365727,0.70938,4.12191
0.363021,0.701267,4.09066,0.367555,0.712699,4.12252
0.364733,0.705252,4.09297,0.369382,0.716014,4.12313
0.366457,0.709206,4.0952,0.371209,0.719325,4.12374
0.368192,0.71313,4.09737,0.373035,0.722631,4.12434
0.369937,0.717024,4.09948,0.37486,0.725932,4.12495
0.371692,0.720889,4.10153,0.376685,0.729229,4.12556
0.373457,0.724725,4.10352,0.378509,0.732521,4.12617
0.37523,0.728534,4.10545,0.380333,0.735808,4.12678
0.377012,0.732316,4.10732,0.382156,0.739091,4.12739
0.378802,0.736071,4.10914,0.383979,0.742369,4.12799
0.3806,0.739801,4.11091,0.3858,0.745643,4.1286
0.382405,0.743505,4.11263,0.387622,0.748911,4.12921
0.384216,0.747185,4.11429,0.389442,0.752176,4.12981
0.386034,0.750841,4.11591,0.391262,0.755435,4.13042
0.387858,0.754473,4.11748,0.393082,0.758689,4.13103
0.389687,0.758083,4.11901,0.3949,0.761939,4.13163
0.391522,0.761671,4.12049,0.396719,0.765184,4.13224
0.393361,0.765237,4.12194,0.398536,0.768424,4.13285
0.395205,0.768783,4.12334,0.400353,0.771659,4.13345
0.397054,0.772308,4.1247,0.402169,0.77489,4.13406
0.398906,0.775813,4.12602,0.403985,0.778115,4.13466
0.400762,0.779299,4.12731,0.4058,0.781336,4.13527
0.402621,0.782766,4.12856,0.407614,0.784551,4.13587
0.404483,0.786215,4.12978,0.409428,0.787762,4.13648
