x,y,z,gx,gy,gz,motor0,motor1,motor2,motor3,target_yaw,yaw
0.0120846,0.183765,0.657752,0,0.34641,0.558779,0,0,0,0,0,-0.0811132
0.0120846,0.183765,0.657752,0.000628318,0.346723,0.558846,0,0,0,0,0.184909,-0.0807978
0.0126125,0.183908,0.656519,0.00125664,0.347036,0.558914,0,0,0,0,0.369818,-0.0807978
0.0126125,0.183908,0.656519,0.00188495,0.347348,0.558982,0,0,0,0,0.461731,-0.0804827
0.0126125,0.183908,0.656519,0.00251326,0.347659,0.559049,0,0,0,0,0.460649,-0.0804827
0.0130585,0.184008,0.655071,0.00314157,0.34797,0.559117,0,0,0,0,0.459567,-0.0802675
0.0130585,0.184008,0.655071,0.00376987,0.348279,0.559184,0,0,0,0,0.458465,-0.0800024
0.013433,0.184096,0.653596,0.00439817,0.348588,0.559252,0,0,0,0,0.457364,-0.0800024
0.013433,0.184096,0.653596,0.00502646,0.348896,0.559319,0,0,0,0,0.456264,-0.0797107
0.013433,0.184096,0.653596,0.00565474,0.349202,0.559387,0,0,0,0,0.455167,-0.0797107
0.0137356,0.184215,0.652348,0.00628302,0.349509,0.559454,0,0,0,0,0.45407,-0.0795175
0.0137356,0.184215,0.652348,0.00691128,0.349813,0.559521,0,0,0,0,0.452959,-0.079162
0.0139974,0.184407,0.651555,0.00753953,0.350118,0.559589,0,0,0,0,0.451848,-0.079162
0.0139974,0.184407,0.651555,0.00816777,0.350421,0.559656,0,0,0,0,0.450743,-0.0788684
0.0139974,0.184407,0.651555,0.008796,0.350724,0.559723,0,0,0,0,0.449643,-0.0786113
0.0142062,0.184649,0.651345,0.00942422,0.351026,0.55979,0,0,0,0,0.448542,-0.0784652
0.0142062,0.184649,0.651345,0.0100524,0.351326,0.559858,0,0,0,0,0.447429,-0.0780575
0.0143554,0.184925,0.651831,0.0106806,0.351626,0.559925,0,0,0,0,0.446315,-0.0780575
0.0143554,0.184925,0.651831,0.0113088,0.351925,0.559992,0,0,0,0,0.4452,-0.07775
0.0143554,0.184925,0.651831,0.0119369,0.352223,0.560059,0,0,0,0,0.444084,-0.0775154
0.0144509,0.185231,0.652932,0.012565,0.352521,0.560126,0,0,0,0,0.442969,-0.0773845
0.0144509,0.185231,0.652932,0.0131931,0.352817,0.560193,0,0,0,0,0.441852,-0.0770701
0.0144982,0.185566,0.65472,0.0138212,0.353113,0.56026,0,0,0,0,0.440735,-0.0770701
0.0144982,0.185566,0.65472,0.0144493,0.353408,0.560326,0,0,0,0,0.439611,-0.0767495
0.0144982,0.185566,0.65472,0.0150773,0.353701,0.560393,0,0,0,0,0.43848,-0.0767495
0.0145217,0.185981,0.657039,0.0157054,0.353995,0.56046,0,0,0,0,0.437348,-0.0766105
0.0145217,0.185981,0.657039,0.0163334,0.354287,0.560527,0,0,0,0,0.436228,-0.0764357
0.0145311,0.186491,0.659862,0.0169613,0.354578,0.560593,0,0,0,0,0.435107,-0.0764357
0.0145311,0.186491,0.659862,0.0175893,0.354868,0.56066,0,0,0,0,0.43398,-0.0762653
0.0145311,0.186491,0.659862,0.0182172,0.355158,0.560726,0,0,0,0,0.432846,-0.0762653
0.0145543,0.187121,0.663108,0.0188451,0.355447,0.560793,0,0,0,0,0.431711,-0.0761911
0.0145543,0.187121,0.663108,0.0194729,0.355734,0.56086,0,0,0,0,0.430575,-0.0760757
0.0146393,0.187896,0.666656,0.0201008,0.356021,0.560926,0,0,0,0,0.429438,-0.0760757
0.0146393,0.187896,0.666656,0.0207286,0.356307,0.560992,0,0,0,0,0.428301,-0.0759221
0.0146393,0.187896,0.666656,0.0213563,0.356592,0.561059,0,0,0,0,0.427163,-0.0759221
0.0147796,0.188819,0.670435,0.0219841,0.356877,0.561125,0,0,0,0,0.426025,-0.0758663
0.0147796,0.188819,0.670435,0.0226117,0.357159,0.561191,0,0,0,0,0.424879,-0.0757369
0.0149995,0.189896,0.674368,0.0232394,0.357442,0.561258,0,0,0,0,0.423733,-0.0757369
0.0149995,0.189896,0.674368,0.023867,0.357724,0.561324,0,0,0,0,0.422586,-0.0755734
0.0149995,0.189896,0.674368,0.0244946,0.358004,0.56139,0,0,0,0,0.421438,-0.0755734
0.0152984,0.191132,0.678389,0.0251222,0.358285,0.561456,0,0,0,0,0.42029,-0.0754788
0.0152984,0.191132,0.678389,0.0257496,0.358563,0.561522,0,0,0,0,0.41914,-0.07529
0.0156776,0.192532,0.682419,0.0263771,0.358841,0.561588,0,0,0,0,0.417991,-0.07529
0.0156776,0.192532,0.682419,0.0270045,0.359118,0.561654,0,0,0,0,0.416837,-0.0751699
0.0156776,0.192532,0.682419,0.0276319,0.359394,0.56172,0,0,0,0,0.415679,-0.0750622
0.016173,0.194102,0.686432,0.0282593,0.359671,0.561786,0,0,0,0,0.414522,-0.0750324
0.016173,0.194102,0.686432,0.0288865,0.359944,0.561852,0,0,0,0,0.413361,-0.0748557
0.0167669,0.195812,0.690388,0.0295138,0.360218,0.561918,0,0,0,0,0.412201,-0.0748557
0.0167669,0.195812,0.690388,0.030141,0.360491,0.561983,0,0,0,0,0.411037,-0.0747744
0.0167669,0.195812,0.690388,0.0307681,0.360763,0.562049,0,0,0,0,0.40987,-0.0747254
0.0174321,0.197659,0.694221,0.0313953,0.361034,0.562115,0,0,0,0,0.408702,-0.0746851
0.0174321,0.197659,0.694221,0.0320223,0.361304,0.56218,0,0,0,0,0.407538,-0.0746532
0.0181685,0.199654,0.697886,0.0326493,0.361573,0.562246,0,0,0,0,0.406373,-0.0746532
0.0181685,0.199654,0.697886,0.0332762,0.361841,0.562312,0,0,0,0,0.405202,-0.0745728
0.0181685,0.199654,0.697886,0.0339031,0.362108,0.562377,0,0,0,0,0.404023,-0.0745728
0.0189744,0.201771,0.701457,0.03453,0.362375,0.562442,0,0,0,0,0.402845,-0.0745744
0.0189744,0.201771,0.701457,0.0351568,0.36264,0.562508,0,0,0,0,0.401671,-0.074575
0.0198569,0.20403,0.704972,0.0357835,0.362905,0.562573,0,0,0,0,0.400497,-0.074575
0.0198569,0.20403,0.704972,0.0364102,0.363169,0.562639,0,0,0,0,0.399319,-0.0746264
0.0198569,0.20403,0.704972,0.0370368,0.363432,0.562704,0,0,0,0,0.398136,-0.0746903
