x,y,z,gx,gy,gz,motor0,motor1,motor2,motor3,target_yaw,yaw
0.0475304,0.0374665,0.722093,0,0,3,0,0,0,0,1.10715,0.0349079
0.0475304,0.0374665,0.722093,0.00188496,0.00376991,3.00063,0,0,0,0,1.10715,0.0348417
0.0471181,0.0380458,0.724018,0.00376991,0.00753979,3.00126,0,0,0,0,1.10714,0.0348417
0.0471181,0.0380458,0.724018,0.00565485,0.0113096,3.00188,0,0,0,0,1.10714,0.034817
0.0471181,0.0380458,0.724018,0.00753979,0.0150794,3.00251,0,0,0,0,1.10713,0.034789
0.0465088,0.0388983,0.726989,0.00942472,0.0188491,3.00314,0,0,0,0,1.10713,0.0347706
0.0465088,0.0388983,0.726989,0.0113096,0.0226186,3.00377,0,0,0,0,1.10711,0.034738
0.045892,0.0397263,0.730873,0.0131945,0.026388,3.0044,0,0,0,0,1.1071,0.0347232
0.045892,0.0397263,0.730873,0.0150794,0.0301573,3.00503,0,0,0,0,1.10709,0.0346637
0.045892,0.0397263,0.730873,0.0169642,0.0339263,3.00565,0,0,0,0,1.10707,0.0346496
0.0454678,0.0402529,0.734497,0.0188491,0.0376951,3.00628,0,0,0,0,1.10705,0.0345957
0.0454678,0.0402529,0.734497,0.0207339,0.0414637,3.00691,0,0,0,0,1.10703,0.0345749
0.0448078,0.0410266,0.741667,0.0226186,0.0452321,3.00754,0,0,0,0,1.10701,0.0345496
0.0448078,0.0410266,0.741667,0.0245033,0.0490001,3.00817,0,0,0,0,1.10699,0.0345237
0.0448078,0.0410266,0.741667,0.026388,0.0527679,3.0088,0,0,0,0,1.10696,0.0344985
0.0443636,0.041536,0.747546,0.0282727,0.0565353,3.00942,0,0,0,0,1.10694,0.0344714
0.0443636,0.041536,0.747546,0.0301573,0.0603023,3.01005,0,0,0,0,1.10691,0.0344502
0.0443636,0.041536,0.747546,0.0320418,0.064069,3.01068,0,0,0,0,1.10687,0.0344243
0.0436729,0.0423146,0.758202,0.0339263,0.0678353,3.01131,0,0,0,0,1.10684,0.0343884
0.0436729,0.0423146,0.758202,0.0358108,0.0716011,3.01194,0,0,0,0,1.10681,0.0343447
0.0432251,0.0428499,0.76651,0.0376951,0.0753665,3.01257,0,0,0,0,1.10677,0.0343086
0.0432251,0.0428499,0.76651,0.0395795,0.0791314,3.01319,0,0,0,0,1.10673,0.0342816
0.0432251,0.0428499,0.76651,0.0414637,0.0828958,3.01382,0,0,0,0,1.10669,0.0342543
0.0425795,0.0436878,0.780632,0.0433479,0.0866597,3.01445,0,0,0,0,1.10665,0.0342364
0.0425795,0.0436878,0.780632,0.0452321,0.090423,3.01508,0,0,0,0,1.1066,0.0342068
0.0421737,0.0442763,0.791007,0.0471161,0.0941858,3.01571,0,0,0,0,1.10656,0.0341661
0.0421737,0.0442763,0.791007,0.0490001,0.097948,3.01633,0,0,0,0,1.10651,0.0341325
0.0421737,0.0442763,0.791007,0.050884,0.10171,3.01696,0,0,0,0,1.10646,0.0341325
0.0416067,0.0452119,0.807848,0.0527679,0.10547,3.01759,0,0,0,0,1.1064,0.0340679
0.0416067,0.0452119,0.807848,0.0546516,0.109231,3.01822,0,0,0,0,1.10635,0.0340679
0.0416067,0.0452119,0.807848,0.0565353,0.11299,3.01885,0,0,0,0,1.10629,0.0340282
0.0412538,0.0458773,0.820008,0.0584188,0.116749,3.01947,0,0,0,0,1.10624,0.0339517
0.0412538,0.0458773,0.820008,0.0603023,0.120507,3.0201,0,0,0,0,1.10618,0.0339517
0.0407713,0.0469423,0.839132,0.0621857,0.124264,3.02073,0,0,0,0,1.10611,0.033918
0.0407713,0.0469423,0.839132,0.064069,0.128021,3.02136,0,0,0,0,1.10605,0.0338867
0.0407713,0.0469423,0.839132,0.0659522,0.131777,3.02198,0,0,0,0,1.10599,0.0338683
0.0404813,0.0477084,0.852473,0.0678353,0.135532,3.02261,0,0,0,0,1.10592,0.0338142
0.0404813,0.0477084,0.852473,0.0697182,0.139286,3.02324,0,0,0,0,1.10585,0.033794
0.0401123,0.0489367,0.873039,0.0716011,0.143039,3.02387,0,0,0,0,1.10578,0.0337552
0.0401123,0.0489367,0.873039,0.0734838,0.146791,3.02449,0,0,0,0,1.1057,0.0337031
0.0401123,0.0489367,0.873039,0.0753665,0.150543,3.02512,0,0,0,0,1.10563,0.0336636
0.0399087,0.0498122,0.886977,0.077249,0.154293,3.02575,0,0,0,0,1.10555,0.0336298
0.0399087,0.0498122,0.886977,0.0791314,0.158042,3.02638,0,0,0,0,1.10547,0.0336123
0.0399087,0.0498122,0.886977,0.0810136,0.161791,3.027,0,0,0,0,1.10539,0.0335522
0.0396566,0.0512122,0.907634,0.0828958,0.165538,3.02763,0,0,0,0,1.10531,0.0335211
0.0396566,0.0512122,0.907634,0.0847778,0.169285,3.02826,0,0,0,0,1.10522,0.0334882
0.0395293,0.0522097,0.9214,0.0866597,0.17303,3.02889,0,0,0,0,1.10514,0.0334461
0.0395293,0.0522097,0.9214,0.0885414,0.176774,3.02951,0,0,0,0,1.10505,0.0334032
0.0395293,0.0522097,0.9214,0.090423,0.180517,3.03014,0,0,0,0,1.10496,0.0333636
0.0394368,0.0532659,0.935341,0.0923045,0.184259,3.03077,0,0,0,0,1.10486,0.0333195
0.0394368,0.0532659,0.935341,0.0941858,0.188,3.0314,0,0,0,0,1.10477,0.0332794
0.0393448,0.0549489,0.95621,0.096067,0.191739,3.03202,0,0,0,0,1.10467,0.0332451
0.0393448,0.0549489,0.95621,0.097948,0.195478,3.03265,0,0,0,0,1.10457,0.0332102
0.0393448,0.0549489,0.95621,0.0998288,0.199215,3.03328,0,0,0,0,1.10447,0.0331638
0.0393085,0.056788,0.977274,0.10171,0.202951,3.0339,0,0,0,0,1.10437,0.0331427
0.0393085,0.056788,0.977274,0.10359,0.206685,3.03453,0,0,0,0,1.10426,0.0330919
0.0393041,0.0581168,0.991122,0.10547,0.210419,3.03516,0,0,0,0,1.10416,0.0330537
0.0393041,0.0581168,0.991122,0.107351,0.214151,3.03578,0,0,0,0,1.10405,0.033037
0.0393041,0.0581168,0.991122,0.109231,0.217881,3.03641,0,0,0,0,1.10394,0.0329945
0.0393594,0.0602444,1.01121,0.111111,0.221611,3.03704,0,0,0,0,1.10383,0.0329469
0.0393594,0.0602444,1.01121,0.11299,0.225338,3.03766,0,0,0,0,1.10371,0.0329107
0.0394289,0.0617587,1.02401,0.11487,0.229065,3.03829,0,0,0,0,1.1036,0.0328952
0.0394289,0.0617587,1.02401,0.116749,0.23279,3.03892,0,0,0,0,1.10348,0.032869
0.0394289,0.0617587,1.02401,0.118628,0.236513,3.03954,0,0,0,0,1.10336,0.0328178
0.0396168,0.0641772,1.04252,0.120507,0.240235,3.04017,0,0,0,0,1.10324,0.0327836
0.0396168,0.0641772,1.04252,0.122386,0.243956,3.0408,0,0,0,0,1.10311,0.0327645
0.0396168,0.0641772,1.04252,0.124264,0.247675,3.04142,0,0,0,0,1.10298,0.0327645
0.0398003,0.0659157,1.05535,0.126143,0.251392,3.04205,0,0,0,0,1.10286,0.032647
0.0398003,0.0659157,1.05535,0.128021,0.255108,3.04267,0,0,0,0,1.10273,0.032647
0.0401574,0.0687392,1.07627,0.129899,0.258822,3.0433,0,0,0,0,1.10259,0.032622
0.0401574,0.0687392,1.07627,0.131777,0.262535,3.04393,0,0,0,0,1.10246,0.0325498
0.0401574,0.0687392,1.07627,0.133654,0.266245,3.04455,0,0,0,0,1.10232,0.0324991
0.0404648,0.070776,1.09146,0.135532,0.269955,3.04518,0,0,0,0,1.10218,0.0324016
0.0404648,0.070776,1.09146,0.137409,0.273662,3.0458,0,0,0,0,1.10204,0.0324016
0.0408302,0.0729474,1.10757,0.139286,0.277368,3.04643,0,0,0,0,1.1019,0.0323461
0.0408302,0.0729474,1.10757,0.141162,0.281072,3.04705,0,0,0,0,1.10176,0.0323
0.0408302,0.0729474,1.10757,0.143039,0.284774,3.04768,0,0,0,0,1.10161,0.0322534
0.0415187,0.0764988,1.13392,0.144915,0.288475,3.04831,0,0,0,0,1.10146,0.0321996
0.0415187,0.0764988,1.13392,0.146791,0.292173,3.04893,0,0,0,0,1.10131,0.0321483
0.0423932,0.0804297,1.16268,0.148667,0.29587,3.04956,0,0,0,0,1.10116,0.0321213
0.0423932,0.0804297,1.16268,0.150543,0.299565,3.05018,0,0,0,0,1.10101,0.0320436
0.0423932,0.0804297,1.16268,0.152418,0.303258,3.05081,0,0,0,0,1.10085,0.031975
0.0430904,0.0832925,1.18325,0.154293,0.306949,3.05143,0,0,0,0,1.10069,0.031898
0.0430904,0.0832925,1.18325,0.156168,0.310638,3.05206,0,0,0,0,1.10053,0.0318467
0.0430904,0.0832925,1.18325,0.158042,0.314325,3.05268,0,0,0,0,1.10037,0.0316968
0.0442975,0.0879595,1.21539,0.159917,0.318011,3.05331,0,0,0,0,1.1002,0.0316053
0.0442975,0.0879595,1.21539,0.161791,0.321694,3.05393,0,0,0,0,1.10003,0.031515
0.0452144,0.091326,1.23769,0.163665,0.325375,3.05455,0,0,0,0,1.09987,0.0314362
0.0452144,0.091326,1.23769,0.165538,0.329054,3.05518,0,0,0,0,1.09969,0.0313939
0.0452144,0.091326,1.23769,0.167412,0.332731,3.0558,0,0,0,0,1.09952,0.0312169
0.0467725,0.0967295,1.27196,0.169285,0.336406,3.05643,0,0,0,0,1.09935,0.0310501
0.0467725,0.0967295,1.27196,0.171157,0.340079,3.05705,0,0,0,0,1.09917,0.0309589
0.0478771,0.100485,1.29356,0.17303,0.34375,3.05768,0,0,0,0,1.09899,0.03068
0.0478771,0.100485,1.29356,0.174902,0.347418,3.0583,0,0,0,0,1.09881,0.0305912
0.0478771,0.100485,1.29356,0.176774,0.351084,3.05892,0,0,0,0,1.09862,0.0304121
0.0498052,0.106495,1.32561,0.178646,0.354749,3.05955,0,0,0,0,1.09844,0.0302486
0.0498052,0.106495,1.32561,0.180517,0.35841,3.06017,0,0,0,0,1.09825,0.0301098
0.0512566,0.110762,1.34669,0.182388,0.36207,3.0608,0,0,0,0,1.09806,0.0299801
0.0512566,0.110762,1.34669,0.184259,0.365727,3.06142,0,0,0,0,1.09787,0.0299018
0.0512566,0.110762,1.34669,0.18613,0.369382,3.06204,0,0,0,0,1.09767,0.0299018
0.0537155,0.117663,1.37867,0.188,0.373035,3.06267,0,0,0,0,1.09748,0.0297134
0.0537155,0.117663,1.37867,0.18987,0.376685,3.06329,0,0,0,0,1.09728,0.0296299
0.0537155,0.117663,1.37867,0.191739,0.380333,3.06391,0,0,0,0,1.09708,0.0296299
0.0555771,0.122587,1.39994,0.193609,0.383979,3.06454,0,0,0,0,1.09688,0.0295682
0.0555771,0.122587,1.39994,0.195478,0.387622,3.06516,0,0,0,0,1.09667,0.0295344
0.0575756,0.127787,1.42149,0.197347,0.391262,3.06578,0,0,0,0,1.09646,0.0294588
0.0575756,0.127787,1.42149,0.199215,0.3949,3.06641,0,0,0,0,1.09625,0.0293611
0.0575756,0.127787,1.42149,0.201083,0.398536,3.06703,0,0,0,0,1.09604,0.029332
0.0609837,0.136112,1.45386,0.202951,0.402169,3.06765,0,0,0,0,1.09583,0.0292544
0.0609837,0.136112,1.45386,0.204818,0.4058,3.06827,0,0,0,0,1.09561,0.0292276
0.0647973,0.145074,1.48582,0.206685,0.409428,3.0689,0,0,0,0,1.0954,0.0292201
0.0647973,0.145074,1.48582,0.208552,0.413053,3.06952,0,0,0,0,1.09518,0.0292236
0.0647973,0.145074,1.48582,0.210419,0.416676,3.07014,0,0,0,0,1.09495,0.0292113
0.0675491,0.151439,1.50725,0.212285,0.420296,3.07076,0,0,0,0,1.09473,0.0291781
0.0675491,0.151439,1.50725,0.214151,0.423914,3.07138,0,0,0,0,1.0945,0.029165
0.0721523,0.161679,1.53951,0.216016,0.427529,3.07201,0,0,0,0,1.09427,0.0291916
0.0721523,0.161679,1.53951,0.217881,0.431141,3.07263,0,0,0,0,1.09404,0.0292594
0.0721523,0.161679,1.53951,0.219746,0.434751,3.07325,0,0,0,0,1.09381,0.0293486
0.0754509,0.168971,1.56129,0.221611,0.438357,3.07387,0,0,0,0,1.09357,0.0294655
0.0754509,0.168971,1.56129,0.223475,0.441961,3.07449,0,0,0,0,1.09334,0.0296234
0.0754509,0.168971,1.56129,0.225338,0.445562,3.07511,0,0,0,0,1.0931,0.0297116
0.0807018,0.18054,1.59377,0.227202,0.449161,3.07573,0,0,0,0,1.09285,0.0298955
0.0807018,0.18054,1.59377,0.229065,0.452756,3.07635,0,0,0,0,1.09261,0.030119
0.0844812,0.188797,1.61603,0.230927,0.456349,3.07698,0,0,0,0,1.09236,0.0302329
0.0844812,0.188797,1.61603,0.23279,0.459939,3.0776,0,0,0,0,1.09211,0.0303374
0.0844812,0.188797,1.61603,0.234652,0.463526,3.07822,0,0,0,0,1.09186,0.0304828
0.090371,0.201837,1.65049,0.236513,0.467109,3.07884,0,0,0,0,1.09161,0.0305682
0.090371,0.201837,1.65049,0.238374,0.47069,3.07946,0,0,0,0,1.09135,0.0308222
0.0945046,0.211023,1.67338,0.240235,0.474268,3.08008,0,0,0,0,1.09109,0.0309824
0.0945046,0.211023,1.67338,0.242096,0.477843,3.0807,0,0,0,0,1.09083,0.0311593
0.0945046,0.211023,1.67338,0.243956,0.481415,3.08132,0,0,0,0,1.09057,0.0312651
0.100875,0.225343,1.70719,0.245815,0.484984,3.08194,0,0,0,0,1.0903,0.0316059
0.100875,0.225343,1.70719,0.247675,0.48855,3.08256,0,0,0,0,1.09004,0.0317246
0.105247,0.235275,1.72923,0.249534,0.492113,3.08318,0,0,0,0,1.08977,0.0319337
0.105247,0.235275,1.72923,0.251392,0.495673,3.0838,0,0,0,0,1.08949,0.0321979
0.105247,0.235275,1.72923,0.25325,0.499229,3.08442,0,0,0,0,1.08922,0.0323775
0.111975,0.250827,1.76207,0.255108,0.502783,3.08504,0,0,0,0,1.08894,0.0325641
0.111975,0.250827,1.76207,0.256965,0.506333,3.08565,0,0,0,0,1.08866,0.0326584
0.111975,0.250827,1.76207,0.258822,0.50988,3.08627,0,0,0,0,1.08838,0.0326584
0.116528,0.261528,1.78339,0.260679,0.513424,3.08689,0,0,0,0,1.0881,0.0330362
0.116528,0.261528,1.78339,0.262535,0.516964,3.08751,0,0,0,0,1.08781,0.0330362
0.12349,0.278289,1.81533,0.26439,0.520502,3.08813,0,0,0,0,1.08752,0.03237
0.12349,0.278289,1.81533,0.266245,0.524036,3.08875,0,0,0,0,1.08723,0.03237
0.12349,0.278289,1.81533,0.2681,0.527566,3.08937,0,0,0,0,1.08694,0.0324674
0.128158,0.289862,1.83662,0.269955,0.531094,3.08998,0,0,0,0,1.08664,0.0325428
0.128158,0.289862,1.83662,0.271809,0.534618,3.0906,0,0,0,0,1.08634,0.0326788
0.132841,0.301705,1.85742,0.273662,0.538139,3.09122,0,0,0,0,1.08604,0.0328249
0.132841,0.301705,1.85742,0.275515,0.541656,3.09184,0,0,0,0,1.08574,0.032893
0.132841,0.301705,1.85742,0.277368,0.54517,3.09246,0,0,0,0,1.08543,0.0330175
0.139892,0.319958,1.88779,0.27922,0.54868,3.09307,0,0,0,0,1.08512,0.0332775
0.139892,0.319958,1.88779,0.281072,0.552187,3.09369,0,0,0,0,1.08481,0.0342195
0.146958,0.33869,1.91662,0.282923,0.55569,3.09431,0,0,0,0,1.0845,0.0359058
0.146958,0.33869,1.91662,0.284774,0.55919,3.09492,0,0,0,0,1.08419,0.0375829
0.146958,0.33869,1.91662,0.286625,0.562687,3.09554,0,0,0,0,1.08387,0.0384335
0.151662,0.351482,1.9352,0.288475,0.566179,3.09616,0,0,0,0,1.08355,0.0409878
0.151662,0.351482,1.9352,0.290324,0.569669,3.09677,0,0,0,0,1.08322,0.0427162
0.151662,0.351482,1.9352,0.292173,0.573154,3.09739,0,0,0,0,1.0829,0.0444314
0.158701,0.371062,1.9618,0.294022,0.576636,3.09801,0,0,0,0,1.08257,0.0452816
0.158701,0.371062,1.9618,0.29587,0.580115,3.09862,0,0,0,0,1.08224,0.0479358
0.163361,0.384365,1.97888,0.297718,0.583589,3.09924,0,0,0,0,1.08191,0.0498427
0.163361,0.384365,1.97888,0.299565,0.587061,3.09985,0,0,0,0,1.08157,0.0518848
0.163361,0.384365,1.97888,0.301412,0.590528,3.10047,0,0,0,0,1.08123,0.0529154
0.1703,0.40466,2.00336,0.303258,0.593991,3.10109,0,0,0,0,1.08089,0.0560003
0.1703,0.40466,2.00336,0.305104,0.597451,3.1017,0,0,0,0,1.08055,0.0570311
0.17488,0.418389,2.01886,0.306949,0.600907,3.10232,0,0,0,0,1.0802,0.0601028
0.17488,0.418389,2.01886,0.308794,0.60436,3.10293,0,0,0,0,1.07985,0.0611253
0.17488,0.418389,2.01886,0.310638,0.607808,3.10355,0,0,0,0,1.0795,0.064211
0.181717,0.439286,2.04061,0.312482,0.611253,3.10416,0,0,0,0,1.07915,0.0663267
0.181717,0.439286,2.04061,0.314325,0.614694,3.10478,0,0,0,0,1.07879,0.0674065
0.181717,0.439286,2.04061,0.316168,0.61813,3.10539,0,0,0,0,1.07843,0.0674065
0.186236,0.453366,2.05391,0.318011,0.621563,3.106,0,0,0,0,1.07807,0.0726409
0.186236,0.453366,2.05391,0.319853,0.624992,3.10662,0,0,0,0,1.0777,0.0746313
0.190714,0.467582,2.06655,0.321694,0.628418,3.10723,0,0,0,0,1.07734,0.0746313
0.190714,0.467582,2.06655,0.323535,0.631839,3.10784,0,0,0,0,1.07697,0.0775082
0.190714,0.467582,2.06655,0.325375,0.635256,3.10846,0,0,0,0,1.07659,0.0775082
0.197345,0.48914,2.08426,0.327215,0.638669,3.10907,0,0,0,0,1.07622,0.0793293
0.197345,0.48914,2.08426,0.329054,0.642078,3.10968,0,0,0,0,1.07584,0.0819684
0.203889,0.510932,2.10039,0.330893,0.645483,3.1103,0,0,0,0,1.07546,0.0828333
0.203889,0.510932,2.10039,0.332731,0.648884,3.11091,0,0,0,0,1.07508,0.0845117
0.203889,0.510932,2.10039,0.334569,0.652281,3.11152,0,0,0,0,1.07469,0.0860868
0.208222,0.525564,2.11024,0.336406,0.655674,3.11214,0,0,0,0,1.0743,0.0883944
0.208222,0.525564,2.11024,0.338243,0.659062,3.11275,0,0,0,0,1.07391,0.0899016
0.214681,0.547577,2.12288,0.340079,0.662447,3.11336,0,0,0,0,1.07351,0.0913329
0.214681,0.547577,2.12288,0.341915,0.665827,3.11397,0,0,0,0,1.07312,0.0926719
0.214681,0.547577,2.12288,0.34375,0.669203,3.11458,0,0,0,0,1.07272,0.0933274
0.218939,0.562306,2.13036,0.345584,0.672575,3.11519,0,0,0,0,1.07231,0.0951713
0.218939,0.562306,2.13036,0.347418,0.675942,3.11581,0,0,0,0,1.07191,0.0962202
0.225351,0.584366,2.14034,0.349252,0.679306,3.11642,0,0,0,0,1.0715,0.0971037
0.225351,0.584366,2.14034,0.351084,0.682665,3.11703,0,0,0,0,1.07109,0.0979315
0.225351,0.584366,2.14034,0.352917,0.686019,3.11764,0,0,0,0,1.07067,0.0983302
0.229601,0.599071,2.14659,0.354749,0.68937,3.11825,0,0,0,0,1.07025,0.0993556
0.229601,0.599071,2.14659,0.35658,0.692716,3.11886,0,0,0,0,1.06983,0.0996387
0.229601,0.599071,2.14659,0.35841,0.696057,3.11947,0,0,0,0,1.06941,0.100145
0.235958,0.621096,2.15557,0.36024,0.699395,3.12008,0,0,0,0,1.06899,0.100798
0.235958,0.621096,2.15557,0.36207,0.702728,3.12069,0,0,0,0,1.06856,0.101184
0.240184,0.635738,2.16135,0.363899,0.706056,3.1213,0,0,0,0,1.06812,0.101365
