x,y,z,gx,gy,gz,motor0,motor1,motor2,motor3
0.00528471,0.000370306,2.22429,0,0,5,0,0,0,0
0.00528471,0.000370306,2.22429,0,0,5,0,0,0,0
0.00528471,0.000370306,2.22429,0,0,5,0,0,0,0
0.00521388,-0.00111958,2.22747,0,0,5,0,0,0,0
0.00521388,-0.00111958,2.22747,0,0,5,0,0,0,0
0.00516368,-0.00210388,2.22956,0,0,5,0,0,0,0
0.00516368,-0.00210388,2.22956,0,0,5,0,0,0,0
0.00516368,-0.00210388,2.22956,0,0,5,0,0,0,0
0.00510946,-0.00308544,2.23166,0,0,5,0,0,0,0
0.00510946,-0.00308544,2.23166,0,0,5,0,0,0,0
0.00510946,-0.00308544,2.23166,0,0,5,0,0,0,0
0.00500887,-0.00455046,2.23568,0,0,5,0,0,0,0
0.00500887,-0.00455046,2.23568,0,0,5,0,0,0,0
0.00500887,-0.00455046,2.23568,0,0,5,0,0,0,0
0.0049182,-0.00553972,2.2392,0,0,5,0,0,0,0
0.0049182,-0.00553972,2.2392,0,0,5,0,0,0,0
0.00476617,-0.00699282,2.24564,0,0,5,0,0,0,0
0.00476617,-0.00699282,2.24564,0,0,5,0,0,0,0
0.00476617,-0.00699282,2.24564,0,0,5,0,0,0,0
0.00466222,-0.00792833,2.25082,0,0,5,0,0,0,0
0.00466222,-0.00792833,2.25082,0,0,5,0,0,0,0
0.00446706,-0.00931991,2.26059,0,0,5,0,0,0,0
0.00446706,-0.00931991,2.26059,0,0,5,0,0,0,0
0.00446706,-0.00931991,2.26059,0,0,5,0,0,0,0
0.00422435,-0.0106315,2.27365,0,0,5,0,0,0,0
0.00422435,-0.0106315,2.27365,0,0,5,0,0,0,0
0.00413804,-0.0110489,2.27881,0,0,5,0,0,0,0
0.00413804,-0.0110489,2.27881,0,0,5,0,0,0,0
0.00413804,-0.0110489,2.27881,0,0,5,0,0,0,0
0.00386887,-0.012225,2.29703,0,0,5,0,0,0,0
0.00386887,-0.012225,2.29703,0,0,5,0,0,0,0
0.00386887,-0.012225,2.29703,0,0,5,0,0,0,0
0.00362838,-0.0132528,2.31982,0,0,5,0,0,0,0
0.00362838,-0.0132528,2.31982,0,0,5,0,0,0,0
0.00343291,-0.0138591,2.33809,0,0,5,0,0,0,0
0.00343291,-0.0138591,2.33809,0,0,5,0,0,0,0
0.00343291,-0.0138591,2.33809,0,0,5,0,0,0,0
0.00295938,-0.0146958,2.37015,0,0,5,0,0,0,0
0.00295938,-0.0146958,2.37015,0,0,5,0,0,0,0
0.0025423,-0.0152558,2.3943,0,0,5,0,0,0,0
0.0025423,-0.0152558,2.3943,0,0,5,0,0,0,0
0.0025423,-0.0152558,2.3943,0,0,5,0,0,0,0
0.00191402,-0.0160574,2.43535,0,0,5,0,0,0,0
0.00191402,-0.0160574,2.43535,0,0,5,0,0,0,0
0.0016156,-0.0165822,2.46505,0,0,5,0,0,0,0
0.0016156,-0.0165822,2.46505,0,0,5,0,0,0,0
0.0016156,-0.0165822,2.46505,0,0,5,0,0,0,0
0.00138042,-0.017275,2.51441,0,0,5,0,0,0,0
0.00138042,-0.017275,2.51441,0,0,5,0,0,0,0
0.00138042,-0.017275,2.51441,0,0,5,0,0,0,0
0.00130255,-0.0177452,2.56894,0,0,5,0,0,0,0
0.00130255,-0.0177452,2.56894,0,0,5,0,0,0,0
0.00130255,-0.0177452,2.56894,0,0,5,0,0,0,0
0.00120902,-0.0179455,2.60773,0,0,5,0,0,0,0
0.00120902,-0.0179455,2.60773,0,0,5,0,0,0,0
0.00105561,-0.0181057,2.64899,0,0,5,0,0,0,0
0.00105561,-0.0181057,2.64899,0,0,5,0,0,0,0
0.00105561,-0.0181057,2.64899,0,0,5,0,0,0,0
0.000702826,-0.0183283,2.71405,0,0,5,0,0,0,0
0.000702826,-0.0183283,2.71405,0,0,5,0,0,0,0
0.000702826,-0.0183283,2.71405,0,0,5,0,0,0,0
0.000497955,-0.0184938,2.75951,0,0,5,0,0,0,0
0.000497955,-0.0184938,2.75951,0,0,5,0,0,0,0
0.000396068,-0.0187514,2.83033,0,0,5,0,0,0,0
0.000396068,-0.0187514,2.83033,0,0,5,0,0,0,0
0.000396068,-0.0187514,2.83033,0,0,5,0,0,0,0
0.000523683,-0.0188993,2.87863,0,0,5,0,0,0,0
0.000523683,-0.0188993,2.87863,0,0,5,0,0,0,0
0.000523683,-0.0188993,2.87863,0,0,5,0,0,0,0
0.000973854,-0.0189643,2.95271,0,0,5,0,0,0,0
0.000973854,-0.0189643,2.95271,0,0,5,0,0,0,0
0.00159838,-0.0188674,3.02741,0,0,5,0,0,0,0
0.00159838,-0.0188674,3.02741,0,0,5,0,0,0,0
0.00159838,-0.0188674,3.02741,0,0,5,0,0,0,0
0.00201447,-0.0186996,3.07712,0,0,5,0,0,0,0
0.00201447,-0.0186996,3.07712,0,0,5,0,0,0,0
