x,y,z,gx,gy,gz,motor0,motor1,motor2,motor3
-0.00154327,0.0299192,2.22713,0.143039,0.284774,2.54768,0,0,0,0
-0.00154327,0.0299192,2.22713,0.144915,0.288475,2.54831,0,0,0,0
-0.00154327,0.0299192,2.22713,0.146791,0.292173,2.54893,0,0,0,0
0.00139423,0.0351767,2.2276,0.148667,0.29587,2.54956,0,0,0,0
0.00139423,0.0351767,2.2276,0.150543,0.299565,2.55018,0,0,0,0
0.00139423,0.0351767,2.2276,0.152418,0.303258,2.55081,0,0,0,0
0.00449783,0.0410159,2.2281,0.154293,0.306949,2.55143,0,0,0,0
0.00449783,0.0410159,2.2281,0.156168,0.310638,2.55206,0,0,0,0
0.00449783,0.0410159,2.2281,0.158042,0.314325,2.55268,0,0,0,0
0.00667357,0.045319,2.22845,0.159917,0.318011,2.55331,0,0,0,0
0.00667357,0.045319,2.22845,0.161791,0.321694,2.55393,0,0,0,0
0.00667357,0.045319,2.22845,0.163665,0.325375,2.55455,0,0,0,0
0.00892125,0.0498781,2.22881,0.165538,0.329054,2.55518,0,0,0,0
0.00892125,0.0498781,2.22881,0.167412,0.332731,2.5558,0,0,0,0
0.0124714,0.0573702,2.22942,0.169285,0.336406,2.55643,0,0,0,0
0.0124714,0.0573702,2.22942,0.171157,0.340079,2.55705,0,0,0,0
0.0124714,0.0573702,2.22942,0.17303,0.34375,2.55768,0,0,0,0
0.0149181,0.0627681,2.22988,0.174902,0.347418,2.5583,0,0,0,0
0.0149181,0.0627681,2.22988,0.176774,0.351084,2.55892,0,0,0,0
0.0187093,0.0714911,2.23067,0.178646,0.354748,2.55955,0,0,0,0
0.0187093,0.0714911,2.23067,0.180517,0.35841,2.56017,0,0,0,0
0.0187093,0.0714911,2.23067,0.182388,0.36207,2.5608,0,0,0,0
0.0213362,0.0778076,2.23128,0.184259,0.365727,2.56142,0,0,0,0
0.0213362,0.0778076,2.23128,0.18613,0.369382,2.56204,0,0,0,0
0.0254269,0.0879066,2.23233,0.188,0.373035,2.56267,0,0,0,0
0.0254269,0.0879066,2.23233,0.18987,0.376685,2.56329,0,0,0,0
0.0254269,0.0879066,2.23233,0.191739,0.380333,2.56391,0,0,0,0
0.0297032,0.0988199,2.2335,0.193609,0.383979,2.56454,0,0,0,0
0.0297032,0.0988199,2.2335,0.195478,0.387622,2.56516,0,0,0,0
0.0297032,0.0988199,2.2335,0.197347,0.391262,2.56578,0,0,0,0
0.0326625,0.106646,2.23437,0.199215,0.3949,2.56641,0,0,0,0
0.0326625,0.106646,2.23437,0.201083,0.398536,2.56703,0,0,0,0
0.0326625,0.106646,2.23437,0.202951,0.402169,2.56765,0,0,0,0
0.0356922,0.114768,2.23532,0.204818,0.4058,2.56827,0,0,0,0
0.0356922,0.114768,2.23532,0.206685,0.409428,2.5689,0,0,0,0
0.040371,0.127801,2.23694,0.208552,0.413053,2.56952,0,0,0,0
0.040371,0.127801,2.23694,0.210419,0.416676,2.57014,0,0,0,0
0.040371,0.127801,2.23694,0.212285,0.420296,2.57076,0,0,0,0
0.040371,0.127801,2.23694,0.214151,0.423914,2.57138,0,0,0,0
