x,y,z,gx,gy,gz
1.47383,-1.19247,3.85692,0.193609,0.383979,4.06454
1.45991,-1.16943,3.86338,0.195478,0.387622,4.06516
1.44587,-1.14617,3.86985,0.197347,0.391262,4.06578
1.43172,-1.12269,3.87631,0.199215,0.3949,4.0664
1.41746,-1.099,3.88277,0.201083,0.398536,4.06703
1.40309,-1.07512,3.88923,0.202951,0.402169,4.06765
1.38863,-1.05103,3.89568,0.204818,0.4058,4.06827
1.37408,-1.02677,3.90212,0.206685,0.409428,4.0689
1.35943,-1.00233,3.90854,0.208552,0.413053,4.06952
1.3447,-0.977727,3.91495,0.210419,0.416676,4.07014
1.3299,-0.952964,3.92135,0.212285,0.420296,4.07076
1.31502,-0.928052,3.92773,0.214151,0.423914,4.07138
1.30007,-0.902999,3.93408,0.216016,0.427529,4.07201
1.28506,-0.877814,3.94042,0.217881,0.431141,4.07263
1.26998,-0.852505,3.94673,0.219746,0.434751,4.07325
1.25486,-0.82708,3.95302,0.221611,0.438357,4.07387
1.23968,-0.801547,3.95929,0.223475,0.441961,4.07449
1.22447,-0.775915,3.96552,0.225338,0.445562,4.07511
1.20921,-0.750192,3.97173,0.227202,0.449161,4.07573
1.19393,-0.724385,3.97791,0.229065,0.452756,4.07635
1.17861,-0.698504,3.98406,0.230927,0.456349,4.07698
1.16327,-0.672556,3.99018,0.23279,0.459939,4.0776
1.14792,-0.646549,3.99627,0.234652,0.463525,4.07822
1.13255,-0.620491,4.00232,0.236513,0.467109,4.07884
1.11718,-0.594391,4.00834,0.238374,0.47069,4.07946
1.10181,-0.568255,4.01433,0.240235,0.474268,4.08008
1.08644,-0.542093,4.02028,0.242096,0.477843,4.0807
1.07107,-0.515912,4.0262,0.243956,0.481415,4.08132
1.05573,-0.489719,4.03208,0.245815,0.484984,4.08194
1.0404,-0.463524,4.03793,0.247675,0.48855,4.08256
1.0251,-0.437333,4.04374,0.249534,0.492113,4.08318
1.00982,-0.411154,4.04952,0.251392,0.495673,4.0838
0.994582,-0.384996,4.05526,0.25325,0.499229,4.08442
0.979383,-0.358866,4.06096,0.255108,0.502783,4.08504
0.964229,-0.332772,4.06662,0.256965,0.506333,4.08566
0.949124,-0.306721,4.07225,0.258822,0.50988,4.08627
0.934074,-0.280721,4.07784,0.260679,0.513424,4.08689
0.919084,-0.25478,4.08339,0.262535,0.516964,4.08751
0.904159,-0.228905,4.08891,0.26439,0.520502,4.08813
0.889304,-0.203104,4.09439,0.266245,0.524036,4.08875
0.874522,-0.177385,4.09982,0.2681,0.527566,4.08937
0.85982,-0.151755,4.10522,0.269955,0.531094,4.08998
0.845201,-0.12622,4.11058,0.271809,0.534618,4.0906
0.830671,-0.10079,4.1159,0.273662,0.538138,4.09122
0.816234,-0.0754706,4.12119,0.275515,0.541656,4.09184
0.801893,-0.0502694,4.12643,0.277368,0.54517,4.09246
0.787655,-0.0251935,4.13163,0.27922,0.54868,4.09307
0.773522,-0.000249994,4.13679,0.281072,0.552187,4.09369
0.7595,0.0245541,4.14191,0.282923,0.55569,4.09431
0.745592,0.0492118,4.14699,0.284774,0.55919,4.09492
0.731802,0.0737165,4.15203,0.286625,0.562687,4.09554
0.718134,0.0980612,4.15702,0.288475,0.566179,4.09616
0.704593,0.12224,4.16197,0.290324,0.569669,4.09677
0.691181,0.146245,4.16688,0.292173,0.573154,4.09739
0.677903,0.170071,4.17174,0.294022,0.576636,4.09801
0.664762,0.193711,4.17656,0.29587,0.580115,4.09862
0.651762,0.21716,4.18134,0.297718,0.583589,4.09924
0.638905,0.240411,4.18607,0.299565,0.587061,4.09985
0.626195,0.263459,4.19075,0.301412,0.590528,4.10047
0.613636,0.286297,4.19538,0.303258,0.593991,4.10109
0.601229,0.30892,4.19996,0.305104,0.597451,4.1017
0.588979,0.331323,4.2045,0.306949,0.600907,4.10232
0.576887,0.3535,4.20899,0.308794,0.60436,4.10293
0.564957,0.375446,4.21342,0.310638,0.607808,4.10355
0.553191,0.397157,4.2178,0.312482,0.611253,4.10416
0.541591,0.418627,4.22213,0.314325,0.614694,4.10478
0.530161,0.439853,4.22641,0.316168,0.61813,4.10539
